SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,September-4-2015,Single Family Residential,402 NW 14th,Corvallis,OR,97330,309000,5,2.0,Wilkins Addition,1672,4792,1936,954,185,,Sold,,,http://www.redfin.com/OR/Corvallis/402-NW-14th-St-97330/home/25917559,WVMLS,693549,N,Y,44.5704111,-123.2709055
PAST SALE,October-29-2015,Single Family Residential,2358 NW Green,Corvallis,OR,97330,318000,3,2.0,Timber Hill SE Add 01,1942,10890,1976,899,164,,Sold,,,http://www.redfin.com/OR/Corvallis/2358-NW-Green-Cir-97330/home/25918394,WVMLS,694980,N,Y,44.5914436,-123.2705508
PAST SALE,May-20-2015,Single Family Residential,1120 NW 16th,Corvallis,OR,97330,270000,3,2.0,Corvallis,1873,9148,1948,1061,144,,Sold,,,http://www.redfin.com/OR/Corvallis/1120-NW-16th-St-97330/home/25918408,WVMLS,696068,N,Y,44.5765461,-123.2701889
PAST SALE,,Single Family Residential,1525 NW 11th St,Corvallis,OR,97330,85000,3,1.0,,1000,8712,1955,,85,,,,,http://www.redfin.com/OR/Corvallis/1525-NW-11th-St-97330/home/25918596,,,N,Y,44.5822009,-123.2632986
PAST SALE,April-24-2017,Single Family Residential,2125 NW 17th,Corvallis,OR,97330,310000,4,3.0,Harman 4th,1308,10890,1965,356,237,,Sold,,,http://www.redfin.com/OR/Corvallis/2125-NW-17th-St-97330/home/25918921,WVMLS,716201,N,Y,44.5881685,-123.2724628
PAST SALE,April-29-2016,Single Family Residential,1100 NW Dixon,Corvallis,OR,97330,317500,2,3.0,Buchanan Addition,3109,10019,1959,716,102,,Sold,,,http://www.redfin.com/OR/Corvallis/1100-NW-Dixon-St-97330/home/25918961,WVMLS,699070,N,Y,44.5763511,-123.2660399
PAST SALE,January-6-2016,Single Family Residential,642 NW 12th,Corvallis,OR,97330,223000,1,1.0,Job's Addition,848,5227,1906,830,263,,Sold,,,http://www.redfin.com/OR/Corvallis/642-NW-12th-St-97330/home/25919059,WVMLS,696564,N,Y,44.5723827,-123.267759
PAST SALE,July-7-2017,Single Family Residential,637 NW 15th,Corvallis,OR,97330-5811,325000,3,2.0,Jobs,1325,4792,1948,282,245,,Sold,,,http://www.redfin.com/OR/Corvallis/637-NW-15th-St-97330/home/25919076,WVMLS,719125,N,Y,44.572809,-123.2701245
PAST SALE,September-16-2016,Single Family Residential,1905 NW 14th,Corvallis,OR,97330,380000,3,2.0,Venell-Harman,1034,10019,1959,576,368,,Sold,,,http://www.redfin.com/OR/Corvallis/1905-NW-14th-St-97330/home/25919323,WVMLS,709276,N,Y,44.5876527,-123.2679968
PAST SALE,October-29-2015,Single Family Residential,1506 Forestgreen,Corvallis,OR,97330,226900,3,1.0,Timberhill SE,924,9583,1972,899,246,,Sold,,,http://www.redfin.com/OR/Corvallis/1506-NW-Forestgreen-Ave-97330/home/25919853,WVMLS,695581,N,Y,44.5898862,-123.2696296
PAST SALE,May-23-2016,Single Family Residential,1655 NW Highland,Corvallis,OR,97330-2019,203500,3,1.0,Corvallis,1270,5227,1953,692,160,,Sold,,,http://www.redfin.com/OR/Corvallis/1655-NW-Highland-Dr-97330/home/25919944,WVMLS,702060,N,Y,44.5843451,-123.2621833
PAST SALE,September-8-2016,Single Family Residential,1457 NW 17th,Corvallis,OR,97330,357500,3,2.0,Parkside,1699,10890,1980,584,210,,Sold,,,http://www.redfin.com/OR/Corvallis/1457-NW-17th-St-97330/home/25920190,WVMLS,707058,N,Y,44.5811995,-123.2710345
PAST SALE,November-3-2015,Single Family Residential,1201 NW 11th,Corvallis,OR,97330,345000,4,2.0,Corvallis,1528,10019,1942,894,226,,Sold,,,http://www.redfin.com/OR/Corvallis/1201-NW-11th-St-97330/home/25920356,WVMLS,695803,N,Y,44.5772744,-123.2637793
PAST SALE,December-18-2015,Single Family Residential,447 NW Kings,Corvallis,OR,97330,279900,3,2.0,Corvallis,1836,7405,1926,849,152,,Sold,,,http://www.redfin.com/OR/Corvallis/447-NW-Kings-Blvd-97330/home/25920401,WVMLS,697290,N,Y,44.5721718,-123.2749
PAST SALE,,Single Family Residential,805 NE Circle Blvd,Corvallis,OR,97330,130000,4,1.5,,1252,16117,1966,,104,,,,,http://www.redfin.com/OR/Corvallis/805-NE-Circle-Blvd-97330/home/25920470,,,N,Y,44.5892111,-123.2485737
PAST SALE,July-16-2015,Single Family Residential,445 NW 18th,Corvallis,OR,97330,278400,4,1.0,Wilkins,1508,4792,1902,1004,185,,Sold,,,http://www.redfin.com/OR/Corvallis/445-NW-18th-St-97330/home/25920603,WVMLS,689985,N,Y,44.5719089,-123.2738535
PAST SALE,,Single Family Residential,1344 NW 12th St,Corvallis,OR,97330,110000,3,1.0,,888,7841,1954,,124,,,,,http://www.redfin.com/OR/Corvallis/1344-NW-12th-St-97330/home/25921776,,,N,Y,44.5792631,-123.2649857
PAST SALE,February-28-2017,Single Family Residential,1775 NW Arthur,Corvallis,OR,97330,246500,3,3.0,Harman 3rd,1426,14375,1963,411,173,,Sold,,,http://www.redfin.com/OR/Corvallis/1775-NW-Arthur-Cir-97330/home/25922016,WVMLS,712031,N,Y,44.585518,-123.2737682
PAST SALE,June-24-2016,Single Family Residential,1745 NW 14th,Corvallis,OR,97330,265000,3,1.0,North Gate Estates,1220,10019,1958,660,217,,Sold,,,http://www.redfin.com/OR/Corvallis/1745-NW-14th-St-97330/home/25922053,WVMLS,703972,N,Y,44.5861123,-123.2680102
PAST SALE,May-15-2017,Single Family Residential,1969 NW Joy Lyn,Corvallis,OR,97330-2632,303000,3,3.0,Corvallis,1570,3049,2002,335,193,,Sold,,,http://www.redfin.com/OR/Corvallis/1969-NW-Joy-Lyn-PI-97330/home/25922069,WVMLS,717172,N,Y,44.578852,-123.2751099
PAST SALE,June-15-2015,Single Family Residential,1573 NW Forestgreen,Corvallis,OR,97330,260000,3,2.0,Timberhill SE 1st,1320,8276,1974,1035,197,,Sold,,,http://www.redfin.com/OR/Corvallis/1573-NW-Forestgreen-Ave-97330/home/25922604,WVMLS,690111,N,Y,44.5902271,-123.2707447
PAST SALE,,Single Family Residential,1583 NW Forestgreen Ave,Corvallis,OR,97330,300000,3,2.0,,1163,8276,1976,,258,,,,,http://www.redfin.com/OR/Corvallis/1583-NW-Forestgreen-Ave-97330/home/25922605,,,N,Y,44.5901756,-123.2710271
PAST SALE,August-31-2017,Single Family Residential,2255 NW 17th,Corvallis,OR,97330,320000,4,2.0,Harman 4th,1485,7841,1967,227,215,,Sold,,,http://www.redfin.com/OR/Corvallis/2255-NW-17th-St-97330/home/25922629,WVMLS,721672,N,Y,44.5895759,-123.2724857
PAST SALE,,Single Family Residential,626 NW 14th St,Corvallis,OR,97330,256500,3,2.0,,1280,4792,1920,,200,,,,,http://www.redfin.com/OR/Corvallis/626-NW-14th-St-97330/home/25924746,,,N,Y,44.572599,-123.2697789
PAST SALE,,Single Family Residential,1311 NW Garfield Ave,Corvallis,OR,97330,235000,3,1.5,,1255,10019,1959,,187,,,,,http://www.redfin.com/OR/Corvallis/1311-NW-Garfield-Ave-97330/home/25924906,,,N,Y,44.5832408,-123.2673991
PAST SALE,September-19-2016,Single Family Residential,1225 NW 13th,Corvallis,OR,97330,325000,3,2.0,Dapers Town & Country 195,1778,6970,1952,573,183,,Sold,,,http://www.redfin.com/OR/Corvallis/1225-NW-13th-St-97330/home/25923970,WVMLS,708054,N,Y,44.5778495,-123.2667083
PAST SALE,December-27-2016,Single Family Residential,1153 NW 11th,Corvallis,OR,97330,197500,2,1.0,Corvallis,884,9148,1941,474,223,,Sold,,,http://www.redfin.com/OR/Corvallis/1153-NW-11th-St-97330/home/25925097,WVMLS,712226,N,Y,44.5771253,-123.2638642
PAST SALE,June-30-2016,Single Family Residential,1221 NW 12th,Corvallis,OR,97330,259000,3,2.0,Drapers Town & Country,1224,6534,1955,654,212,,Sold,,,http://www.redfin.com/OR/Corvallis/1221-NW-12th-St-97330/home/25924940,WVMLS,701724,N,Y,44.5775774,-123.2644574
PAST SALE,September-9-2016,Single Family Residential,829 NW 13th,Corvallis,OR,97330-5954,225000,3,1.0,Job's Addition,1056,4356,1979,583,213,,Sold,,,http://www.redfin.com/OR/Corvallis/829-NW-13th-St-97330/home/25924559,WVMLS,707043,N,Y,44.5738792,-123.267601
PAST SALE,April-7-2017,Single Family Residential,1232 NW Grant,Corvallis,OR,97330-4609,273500,3,1.0,Corvallis,1270,7405,1953,373,215,,Sold,,,http://www.redfin.com/OR/Corvallis/1232-NW-Grant-Ave-97330/home/25924569,WVMLS,713763,N,Y,44.5794087,-123.2655276
PAST SALE,August-14-2015,Single Family Residential,1325 NW 15th,Corvallis,OR,97330,334000,5,3.0,Tinkham Tracts,3006,10454,1955,975,111,,Sold,,,http://www.redfin.com/OR/Corvallis/1325-NW-15th-St-97330/home/25927918,WVMLS,691633,N,Y,44.5786496,-123.2689509
PAST SALE,,Single Family Residential,1320 NW 12th St,Corvallis,OR,97330,206700,3,1.0,,888,7841,1954,,233,,,,,http://www.redfin.com/OR/Corvallis/1320-NW-12th-St-97330/home/25927942,,,N,Y,44.5785737,-123.264993
PAST SALE,,Single Family Residential,1241 NW Circle Blvd,Corvallis,OR,97330,156000,3,1.0,,912,7841,1966,,171,,,,,http://www.redfin.com/OR/Corvallis/1241-NW-Circle-Blvd-97330/home/25928067,,,N,Y,44.5888976,-123.266543
